,Location,Accident_Type,Accident_Count,Year_Column,Date,Accident_Category
322,On motorways/freeways,Other accidents involving material damage,10978,2015,2015-06-01,Other Material Damage
323,Outside built-up areas (excl. motorways/freeways),Serious acc. invol. mat.damage in the nearer sense,1406,2022,2022-02-01,Material Damage
324,Inside built-up areas,Other accidents involving material damage,132676,2018,2018-08-01,Other Material Damage
325,Total,Total,218092,2024,2024-10-01,Total
326,Outside built-up areas (excl. motorways/freeways),Personal injury accidents,3629,2021,2021-01-01,Personal Injury
327,Total,Serious acc. invol. mat.damage in the nearer sense,5154,2024,2024-09-01,Material Damage
328,On motorways/freeways,Other accidents involving material damage,10186,2013,2013-05-01,Other Material Damage
329,On motorways/freeways,Other accidents involving material damage,9480,2012,2012-01-01,Other Material Damage
330,Outside built-up areas (excl. motorways/freeways),Other accidents involving material damage,38132,2018,2018-10-01,Other Material Damage
331,Total,Total,213970,2024,2024-09-01,Total
332,Outside built-up areas (excl. motorways/freeways),Other accidents involving intoxication,200,2017,2017-11-01,Intoxication
333,Outside built-up areas (excl. motorways/freeways),Total,43153,2017,2017-04-01,Total
334,Inside built-up areas,Other accidents involving intoxication,855,2024,2024-01-01,Intoxication
335,Outside built-up areas (excl. motorways/freeways),Other accidents involving intoxication,0,2024,2024-12-01,Intoxication
336,On motorways/freeways,Serious acc. invol. mat.damage in the nearer sense,807,2015,2015-06-01,Material Damage
337,Total,Personal injury accidents,29789,2022,2022-06-01,Personal Injury
338,Inside built-up areas,Other accidents involving intoxication,1161,2023,2023-07-01,Intoxication
339,Total,Total,189881,2014,2014-08-01,Total
340,Total,Serious acc. invol. mat.damage in the nearer sense,5773,2024,2024-11-01,Material Damage
341,Outside built-up areas (excl. motorways/freeways),Other accidents involving material damage,34062,2018,2018-07-01,Other Material Damage
342,On motorways/freeways,Total,16106,2018,2018-10-01,Total
343,On motorways/freeways,Serious acc. invol. mat.damage in the nearer sense,908,2021,2021-02-01,Material Damage
344,Inside built-up areas,Personal injury accidents,14980,2019,2019-12-01,Personal Injury
345,On motorways/freeways,Total,10573,2015,2015-02-01,Total
346,On motorways/freeways,Serious acc. invol. mat.damage in the nearer sense,903,2021,2021-06-01,Material Damage
347,On motorways/freeways,Other accidents involving intoxication,47,2013,2013-10-01,Intoxication
348,Outside built-up areas (excl. motorways/freeways),Other accidents involving intoxication,156,2017,2017-07-01,Intoxication
349,Inside built-up areas,Total,161675,2021,2021-06-01,Total
350,Inside built-up areas,Serious acc. invol. mat.damage in the nearer sense,2955,2022,2022-09-01,Material Damage
351,Inside built-up areas,Personal injury accidents,19934,2019,2019-09-01,Personal Injury
352,Inside built-up areas,Serious acc. invol. mat.damage in the nearer sense,4026,2022,2022-12-01,Material Damage
353,On motorways/freeways,Personal injury accidents,1738,2018,2018-06-01,Personal Injury
354,Outside built-up areas (excl. motorways/freeways),Total,34202,2022,2022-03-01,Total
355,Total,Other accidents involving intoxication,986,2015,2015-02-01,Intoxication
356,Inside built-up areas,Other accidents involving material damage,119026,2011,2011-06-01,Other Material Damage
357,Outside built-up areas (excl. motorways/freeways),Other accidents involving material damage,36320,2022,2022-12-01,Other Material Damage
358,On motorways/freeways,Other accidents involving material damage,10420,2020,2020-09-01,Other Material Damage
359,Total,Personal injury accidents,25777,2014,2014-08-01,Personal Injury
360,Inside built-up areas,Other accidents involving intoxication,1052,2019,2019-03-01,Intoxication
361,On motorways/freeways,Other accidents involving intoxication,73,2022,2022-04-01,Intoxication
362,Inside built-up areas,Other accidents involving intoxication,1184,2012,2012-06-01,Intoxication
363,Total,Serious acc. invol. mat.damage in the nearer sense,7519,2013,2013-12-01,Material Damage
364,Inside built-up areas,Serious acc. invol. mat.damage in the nearer sense,4354,2012,2012-11-01,Material Damage
365,Inside built-up areas,Other accidents involving intoxication,1051,2023,2023-11-01,Intoxication
366,Total,Serious acc. invol. mat.damage in the nearer sense,7866,2013,2013-03-01,Material Damage
367,Outside built-up areas (excl. motorways/freeways),Serious acc. invol. mat.damage in the nearer sense,1398,2016,2016-06-01,Material Damage
368,Outside built-up areas (excl. motorways/freeways),Personal injury accidents,6791,2011,2011-04-01,Personal Injury
369,On motorways/freeways,Other accidents involving material damage,8052,2014,2014-02-01,Other Material Damage
370,On motorways/freeways,Personal injury accidents,1179,2024,2024-02-01,Personal Injury
371,Total,Total,197737,2014,2014-06-01,Total
372,Inside built-up areas,Personal injury accidents,14683,2019,2019-03-01,Personal Injury
373,Outside built-up areas (excl. motorways/freeways),Other accidents involving material damage,33007,2011,2011-05-01,Other Material Damage
374,Total,Serious acc. invol. mat.damage in the nearer sense,4670,2024,2024-02-01,Material Damage
375,Outside built-up areas (excl. motorways/freeways),Total,38375,2011,2011-04-01,Total
376,On motorways/freeways,Total,15141,2015,2015-11-01,Total
377,Inside built-up areas,Other accidents involving intoxication,1058,2014,2014-06-01,Intoxication
378,Outside built-up areas (excl. motorways/freeways),Personal injury accidents,6294,2021,2021-10-01,Personal Injury
379,Inside built-up areas,Serious acc. invol. mat.damage in the nearer sense,4216,2016,2016-12-01,Material Damage
380,Inside built-up areas,Personal injury accidents,18230,2015,2015-11-01,Personal Injury
381,Inside built-up areas,Serious acc. invol. mat.damage in the nearer sense,3334,2016,2016-03-01,Material Damage
382,Total,Total,211856,2014,2014-07-01,Total
383,Outside built-up areas (excl. motorways/freeways),Total,40154,2020,2020-11-01,Total
384,On motorways/freeways,Other accidents involving intoxication,48,2015,2015-03-01,Intoxication
385,Inside built-up areas,Personal injury accidents,11642,2015,2015-02-01,Personal Injury
386,Outside built-up areas (excl. motorways/freeways),Other accidents involving intoxication,164,2019,2019-07-01,Intoxication
387,On motorways/freeways,Other accidents involving material damage,12108,2023,2023-05-01,Other Material Damage
388,Inside built-up areas,Serious acc. invol. mat.damage in the nearer sense,4453,2012,2012-02-01,Material Damage
389,Inside built-up areas,Personal injury accidents,17158,2021,2021-08-01,Personal Injury
390,Inside built-up areas,Personal injury accidents,10595,2011,2011-01-01,Personal Injury
391,On motorways/freeways,Total,14532,2015,2015-09-01,Total
392,Inside built-up areas,Other accidents involving material damage,107086,2020,2020-12-01,Other Material Damage
393,Total,Total,213794,2024,2024-11-01,Total
394,Total,Personal injury accidents,29646,2017,2017-07-01,Personal Injury
395,Inside built-up areas,Total,161788,2024,2024-05-01,Total
396,Total,Serious acc. invol. mat.damage in the nearer sense,6552,2019,2019-12-01,Material Damage
397,On motorways/freeways,Total,13595,2018,2018-01-01,Total
398,Total,Serious acc. invol. mat.damage in the nearer sense,5326,2015,2015-04-01,Material Damage
399,On motorways/freeways,Personal injury accidents,1786,2019,2019-09-01,Personal Injury
400,Outside built-up areas (excl. motorways/freeways),Total,39489,2014,2014-07-01,Total
401,Inside built-up areas,Other accidents involving intoxication,854,2018,2018-02-01,Intoxication
402,Inside built-up areas,Other accidents involving intoxication,930,2020,2020-02-01,Intoxication
403,On motorways/freeways,Total,13166,2015,2015-04-01,Total
404,On motorways/freeways,Other accidents involving intoxication,53,2021,2021-03-01,Intoxication
405,On motorways/freeways,Personal injury accidents,1680,2017,2017-12-01,Personal Injury
406,On motorways/freeways,Serious acc. invol. mat.damage in the nearer sense,973,2023,2023-10-01,Material Damage
407,Total,Personal injury accidents,27224,2018,2018-04-01,Personal Injury
408,Total,Serious acc. invol. mat.damage in the nearer sense,6990,2013,2013-10-01,Material Damage
409,Total,Other accidents involving material damage,163659,2022,2022-03-01,Other Material Damage
410,Total,Serious acc. invol. mat.damage in the nearer sense,4983,2023,2023-02-01,Material Damage
411,Inside built-up areas,Total,143839,2021,2021-08-01,Total
412,Total,Total,208552,2022,2022-12-01,Total
413,On motorways/freeways,Personal injury accidents,1127,2022,2022-03-01,Personal Injury
414,On motorways/freeways,Serious acc. invol. mat.damage in the nearer sense,1331,2017,2017-01-01,Material Damage
415,On motorways/freeways,Serious acc. invol. mat.damage in the nearer sense,926,2012,2012-11-01,Material Damage
416,Total,Other accidents involving material damage,186547,2023,2023-10-01,Other Material Damage
417,Total,Personal injury accidents,29564,2020,2020-09-01,Personal Injury
418,Outside built-up areas (excl. motorways/freeways),Other accidents involving intoxication,175,2020,2020-12-01,Intoxication
419,Outside built-up areas (excl. motorways/freeways),Personal injury accidents,6759,2013,2013-09-01,Personal Injury
420,Outside built-up areas (excl. motorways/freeways),Personal injury accidents,6912,2020,2020-08-01,Personal Injury
421,Total,Other accidents involving material damage,188835,2017,2017-06-01,Other Material Damage
422,On motorways/freeways,Other accidents involving intoxication,48,2021,2021-02-01,Intoxication
423,On motorways/freeways,Other accidents involving intoxication,57,2019,2019-06-01,Intoxication
424,Outside built-up areas (excl. motorways/freeways),Serious acc. invol. mat.damage in the nearer sense,2225,2019,2019-01-01,Material Damage
425,Inside built-up areas,Other accidents involving material damage,130388,2021,2021-12-01,Other Material Damage
426,Outside built-up areas (excl. motorways/freeways),Total,44566,2013,2013-01-01,Total
427,Total,Other accidents involving material damage,186320,2018,2018-03-01,Other Material Damage
428,On motorways/freeways,Serious acc. invol. mat.damage in the nearer sense,899,2016,2016-11-01,Material Damage
429,Total,Personal injury accidents,31735,2011,2011-05-01,Personal Injury
430,Inside built-up areas,Other accidents involving intoxication,1126,2012,2012-10-01,Intoxication
431,Inside built-up areas,Total,134952,2017,2017-02-01,Total
432,On motorways/freeways,Other accidents involving material damage,8784,2017,2017-02-01,Other Material Damage
433,Outside built-up areas (excl. motorways/freeways),Personal injury accidents,5273,2015,2015-01-01,Personal Injury
434,On motorways/freeways,Personal injury accidents,1735,2015,2015-04-01,Personal Injury
435,Total,Serious acc. invol. mat.damage in the nearer sense,6026,2014,2014-05-01,Material Damage
436,On motorways/freeways,Serious acc. invol. mat.damage in the nearer sense,871,2016,2016-05-01,Material Damage
437,Total,Other accidents involving intoxication,1298,2011,2011-04-01,Intoxication
438,Total,Other accidents involving material damage,179453,2021,2021-06-01,Other Material Damage
439,Total,Other accidents involving intoxication,1260,2012,2012-01-01,Intoxication
440,On motorways/freeways,Total,14013,2013,2013-10-01,Total
441,On motorways/freeways,Total,11207,2023,2023-02-01,Total
442,Total,Personal injury accidents,20016,2016,2016-03-01,Personal Injury
443,On motorways/freeways,Personal injury accidents,1530,2024,2024-11-01,Personal Injury
444,Outside built-up areas (excl. motorways/freeways),Other accidents involving intoxication,155,2012,2012-02-01,Intoxication
445,Total,Total,220204,2016,2016-05-01,Total
446,Inside built-up areas,Other accidents involving intoxication,924,2018,2018-01-01,Intoxication
447,Outside built-up areas (excl. motorways/freeways),Total,39138,2012,2012-06-01,Total
448,Total,Other accidents involving intoxication,1362,2015,2015-12-01,Intoxication
449,Outside built-up areas (excl. motorways/freeways),Personal injury accidents,7423,2019,2019-06-01,Personal Injury
450,Total,Other accidents involving material damage,206303,2019,2019-10-01,Other Material Damage
451,On motorways/freeways,Serious acc. invol. mat.damage in the nearer sense,1366,2013,2013-01-01,Material Damage
452,Total,Serious acc. invol. mat.damage in the nearer sense,5882,2019,2019-03-01,Material Damage
453,On motorways/freeways,Personal injury accidents,1073,2020,2020-11-01,Personal Injury
454,Inside built-up areas,Other accidents involving intoxication,1044,2019,2019-04-01,Intoxication
455,On motorways/freeways,Other accidents involving intoxication,75,2022,2022-05-01,Intoxication
456,Total,Total,203286,2024,2024-08-01,Total
457,Inside built-up areas,Personal injury accidents,15575,2020,2020-05-01,Personal Injury
458,Outside built-up areas (excl. motorways/freeways),Other accidents involving material damage,33018,2019,2019-03-01,Other Material Damage
459,On motorways/freeways,Personal injury accidents,1867,2017,2017-06-01,Personal Injury
460,On motorways/freeways,Other accidents involving intoxication,92,2021,2021-07-01,Intoxication
